[2026-06-12 20:55:25] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-12 20:55:25] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_02/simulation/cand_153_d2_w77/training_log.txt
[2026-06-12 20:55:25] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_02/simulation/cand_153_d2_w77/training_stats.csv
[2026-06-12 20:55:26] Epoch 1 | architecture=[77, 77] train_loss=0.006572 val_loss=0.008362 best=0.008362 es=0/10
[2026-06-12 20:55:26] Epoch 1 | architecture=[77, 77] train_loss=0.004753 val_loss=0.005790 best=0.005790 es=0/10
[2026-06-12 20:55:26] Epoch 1 | architecture=[77, 77] train_loss=0.003901 val_loss=0.002408 best=0.002408 es=0/10
[2026-06-12 20:55:26] Epoch 1 | architecture=[77, 77] train_loss=0.001930 val_loss=0.003913 best=0.003913 es=0/10
[2026-06-12 20:55:27] Epoch 1 | architecture=[77, 77] train_loss=0.003404 val_loss=0.003351 best=0.003351 es=0/10
[2026-06-12 20:55:27] Epoch 1 | architecture=[77, 77] train_loss=0.001857 val_loss=0.002572 best=0.002572 es=0/10
[2026-06-12 20:55:27] Epoch 1 | architecture=[77, 77] train_loss=0.002919 val_loss=0.003239 best=0.003239 es=0/10
[2026-06-12 20:55:27] Epoch 1 | architecture=[77, 77] train_loss=0.002112 val_loss=0.003172 best=0.003172 es=0/10
[2026-06-12 20:55:27] Epoch 1 | architecture=[77, 77] train_loss=0.001586 val_loss=0.003317 best=0.003317 es=0/10
[2026-06-12 20:55:28] Epoch 1 | architecture=[77, 77] train_loss=0.001743 val_loss=0.002664 best=0.002664 es=0/10
[2026-06-12 20:55:28] Epoch 1 | architecture=[77, 77] train_loss=0.002334 val_loss=0.002227 best=0.002227 es=0/10
[2026-06-12 20:55:28] Epoch 1 | architecture=[77, 77] train_loss=0.002862 val_loss=0.002607 best=0.002607 es=0/10
[2026-06-12 20:55:28] Epoch 1 | architecture=[77, 77] train_loss=0.001944 val_loss=0.001922 best=0.001922 es=0/10
[2026-06-12 20:55:29] Epoch 1 | architecture=[77, 77] train_loss=0.003075 val_loss=0.002176 best=0.002176 es=0/10
[2026-06-12 20:55:29] Epoch 1 | architecture=[77, 77] train_loss=0.002260 val_loss=0.002373 best=0.002373 es=0/10
[2026-06-12 20:55:29] Epoch 1 | architecture=[77, 77] train_loss=0.001476 val_loss=0.002377 best=0.002377 es=0/10
[2026-06-12 20:55:29] Epoch 1 | architecture=[77, 77] train_loss=0.001461 val_loss=0.002741 best=0.002741 es=0/10
[2026-06-12 20:55:30] Epoch 1 | architecture=[77, 77] train_loss=0.001420 val_loss=0.002192 best=0.002192 es=0/10
[2026-06-12 20:55:30] Epoch 1 | architecture=[77, 77] train_loss=0.001133 val_loss=0.001919 best=0.001919 es=0/10
[2026-06-12 20:55:30] Epoch 1 | architecture=[77, 77] train_loss=0.001451 val_loss=0.001784 best=0.001784 es=0/10
[2026-06-12 20:55:30] Epoch 1 | architecture=[77, 77] train_loss=0.002340 val_loss=0.001943 best=0.001943 es=0/10
[2026-06-12 20:55:30] Epoch 1 | architecture=[77, 77] train_loss=0.001586 val_loss=0.002458 best=0.002458 es=0/10
[2026-06-12 20:55:31] Epoch 1 | architecture=[77, 77] train_loss=0.001597 val_loss=0.002078 best=0.002078 es=0/10
[2026-06-12 20:55:31] Epoch 1 | architecture=[77, 77] train_loss=0.001106 val_loss=0.002071 best=0.002071 es=0/10
[2026-06-12 20:55:31] Epoch 1 | architecture=[77, 77] train_loss=0.001862 val_loss=0.001915 best=0.001915 es=0/10
[2026-06-12 20:55:31] Epoch 1 | architecture=[77, 77] train_loss=0.001429 val_loss=0.001959 best=0.001959 es=0/10
[2026-06-12 20:55:31] Epoch 1 | architecture=[77, 77] train_loss=0.001479 val_loss=0.002205 best=0.002205 es=0/10
[2026-06-12 20:55:32] Epoch 1 | architecture=[77, 77] train_loss=0.002468 val_loss=0.001806 best=0.001806 es=0/10
[2026-06-12 20:55:32] Epoch 1 | architecture=[77, 77] train_loss=0.002327 val_loss=0.001802 best=0.001802 es=0/10
[2026-06-12 20:55:32] Epoch 1 | architecture=[77, 77] train_loss=0.001489 val_loss=0.001985 best=0.001985 es=0/10
