task,phase,depth,width,epochs,best_val,best_epoch,final_epoch,train_loss_n,train_loss_mean,train_loss_var,train_loss_std,train_loss_cv_pct,val_loss_n,val_loss_mean,val_loss_var,val_loss_std,val_loss_cv_pct,train_acc_n,train_acc_mean,train_acc_var,train_acc_std,train_acc_cv_pct,val_acc_n,val_acc_mean,val_acc_var,val_acc_std,val_acc_cv_pct
classification,stl_ablation_r01_d01_parammatched,1,1,200,0.7392177035506092,200,200,200,0.8455730975064494,0.039588954996000056,0.1989697338692497,23.53075499397994,200,0.8422519426941625,0.03665614560733537,0.19145794736008054,22.73167180210382,200,0.6739487209827673,0.01379591509676975,0.11745601345512179,17.42803418097519,200,0.6750169532366053,0.012758283865451445,0.11295257352292352,16.733294324139987
classification,stl_ablation_r02_d01_parammatched,1,1,200,0.7734979975387887,200,200,200,0.9415792217615914,0.09392722902057746,0.30647549497566273,32.549092831751395,200,0.9380688838604935,0.08788682125340908,0.29645711536984415,31.602915358391982,200,0.644543544674168,0.02030383075972125,0.14249151118477638,22.10735215055318,200,0.6462640918400716,0.018703502207375853,0.13676074805065908,21.161743283812633
classification,stl_ablation_r03_d01_parammatched,1,1,200,0.783558773669447,199,200,200,0.8987638204243064,0.03674894169679888,0.191700134837717,21.32931149222444,200,0.8978569402861879,0.03311116464130996,0.18196473460896198,20.266562126362974,200,0.6128765301951336,0.007829652225682658,0.08848532209176084,14.437707716363038,200,0.6140850415655497,0.007291337127899669,0.08538932677975433,13.905130560103304
classification,stl_ablation_r04_d01_parammatched,1,1,200,0.8304648739616853,199,200,200,0.9153153693867988,0.037583632433241816,0.19386498506239289,21.180129990854375,200,0.913824368564051,0.03359901783020962,0.18330034869091116,20.058597143665843,200,0.6438707859125233,0.002506817269784102,0.05006812628593267,7.776113993893016,200,0.6440349563690815,0.002148619765793322,0.04635320663981427,7.197312223725063
classification,stl_ablation_r05_d01_parammatched,1,1,122,1.0240620600270542,112,122,122,1.0833189325485968,0.026683420193217795,0.16335060512045185,15.078717837613725,122,1.0795408947307483,0.02270931600096767,0.1506961047969312,13.959277090148289,122,0.47920805645599596,0.004025356774285603,0.06344569941521334,13.239697989309441,122,0.48218379469781425,0.0035032560141654324,0.059188309776217064,12.275051635302368
classification,stl_ablation_r01_d1968_parammatched,1,1968,146,0.22050278582013175,136,146,146,0.28505930365052834,0.007631889613950565,0.08736068689033165,30.64649557884014,146,0.2922031174968274,0.005839986852067376,0.07641980667384193,26.15297445437818,146,0.8872449871253919,0.0015147623254123564,0.03891994765428592,4.386606655325681,146,0.8837145424370835,0.0011830817698340605,0.03439595571915484,3.8922020706255016
classification,stl_ablation_r02_d1968_parammatched,1,1968,188,0.20726814745884156,178,188,188,0.266071428387381,0.007224586410013405,0.08499756708290776,31.94539436198214,188,0.2752397832122508,0.005593903543600346,0.074792402980519,27.17354377613462,188,0.8952453919629481,0.0014140479888632722,0.03760382944413072,4.200393521342698,188,0.8911023247485028,0.0011250648366755939,0.033541986176665116,3.764100400717922
classification,stl_ablation_r03_d1968_parammatched,1,1968,137,0.2242047251257227,127,137,137,0.2921419925758503,0.007592911874549323,0.08713731620006047,29.827042470601544,137,0.29867743576085126,0.005901554801408272,0.07682157770710174,25.72058297989815,137,0.8841114735367108,0.0015016474000193322,0.03875109546863588,4.383055375768384,137,0.880819041897466,0.0012077263519148205,0.03475235750153967,3.9454593791110506
classification,stl_ablation_r04_d1968_parammatched,1,1968,182,0.20619641392215107,172,182,182,0.26858655793968944,0.007293823585439837,0.08540388507228366,31.79752766758377,182,0.27667511350115653,0.00569087098802932,0.07543786176734676,27.265864577672406,182,0.8944746417713867,0.0014317689349907011,0.03783872269237826,4.2302733834291555,182,0.8902999721402158,0.0011303211795994647,0.03362024954695406,3.7762833425832247
classification,stl_ablation_r05_d1968_parammatched,1,1968,168,0.21435411757930306,158,168,168,0.27583531964843083,0.007369455439782331,0.08584553243927334,31.122023295888567,168,0.28402093872828305,0.0056826561062603325,0.0753833941014885,26.541491778395336,168,0.8911444999031862,0.0014461731827587548,0.038028583759571626,4.267386912414659,168,0.8873824809178762,0.001149195749544161,0.03389978981563398,3.820200482273356
