task,repeat,row_type,phase,architecture,parameter_count,best_val,best_epoch,final_epoch,test_loss,test_acc
classification,1,ablation_stl,stl_ablation_r01_d37376_parammatched,[37376],2392071,0.21143610130628313,117,127,0.21390062114542663,0.9160943873599422
classification,2,ablation_stl,stl_ablation_r02_d37376_parammatched,[37376],2392071,0.27774935313388177,58,68,0.28608917655416455,0.8888143061220978
classification,3,ablation_stl,stl_ablation_r03_d37376_parammatched,[37376],2392071,0.25680042386498175,70,80,0.25850815772040797,0.8975577012443848
classification,4,ablation_stl,stl_ablation_r04_d37376_parammatched,[37376],2392071,0.24135049292752792,67,77,0.24552247431947677,0.9038742878780055
classification,5,ablation_stl,stl_ablation_r05_d37376_parammatched,[37376],2392071,0.26885107040663797,57,67,0.27439956572679103,0.8940293626615721
classification,1,ablation_stl,stl_ablation_r01_d35409_parammatched,[35409],2266183,0.24122833330808405,83,93,0.24073521440421974,0.9063355191821139
classification,2,ablation_stl,stl_ablation_r02_d35409_parammatched,[35409],2266183,0.22167893553263956,106,116,0.22497842661725193,0.9129446997469923
classification,3,ablation_stl,stl_ablation_r03_d35409_parammatched,[35409],2266183,0.2317783768565923,94,104,0.23340181179012653,0.909106555825201
classification,4,ablation_stl,stl_ablation_r04_d35409_parammatched,[35409],2266183,0.26326642061151434,67,77,0.2652499307080293,0.8980740434760159
classification,5,ablation_stl,stl_ablation_r05_d35409_parammatched,[35409],2266183,0.21402210078272926,116,126,0.21578763833676015,0.9168861121151098
classification,1,ablation_stl,stl_ablation_r01_d33442_parammatched,[33442],2140295,0.22403605507820706,100,110,0.22782320342217416,0.9108276965973047
classification,2,ablation_stl,stl_ablation_r02_d33442_parammatched,[33442],2140295,0.2322476954191343,98,108,0.23348121879783051,0.9080394485464967
classification,3,ablation_stl,stl_ablation_r03_d33442_parammatched,[33442],2140295,0.23549415435053983,91,101,0.24515603436481703,0.9088828075248274
classification,4,ablation_stl,stl_ablation_r04_d33442_parammatched,[33442],2140295,0.2662615119416842,69,79,0.26817977200998716,0.8932892721295674
classification,5,ablation_stl,stl_ablation_r05_d33442_parammatched,[33442],2140295,0.23027533553446453,94,104,0.23181487444913054,0.9110170220822361
classification,1,ablation_stl,stl_ablation_r01_d31475_parammatched,[31475],2014407,0.2272668839964394,95,105,0.23122969448640301,0.9120152837300562
classification,2,ablation_stl,stl_ablation_r02_d31475_parammatched,[31475],2014407,0.2364328120042489,87,97,0.23738512437591164,0.9094679953873427
classification,3,ablation_stl,stl_ablation_r03_d31475_parammatched,[31475],2014407,0.22997860664497652,96,106,0.23229744123884413,0.9088828075248274
classification,4,ablation_stl,stl_ablation_r04_d31475_parammatched,[31475],2014407,0.28466691489390045,45,55,0.28807367955720586,0.8880570041823721
classification,5,ablation_stl,stl_ablation_r05_d31475_parammatched,[31475],2014407,0.30601376984480977,44,54,0.31016931246300394,0.8762327670780193
classification,1,ablation_stl,stl_ablation_r01_d29508_parammatched,[29508],1888519,0.20826082274824784,117,127,0.20998618005706005,0.9208103130755064
classification,2,ablation_stl,stl_ablation_r02_d29508_parammatched,[29508],1888519,0.2240931936512059,95,105,0.22615450975656964,0.9111202905285624
classification,3,ablation_stl,stl_ablation_r03_d29508_parammatched,[29508],1888519,0.2805461918460742,57,67,0.28323241665427695,0.8901740073320596
classification,4,ablation_stl,stl_ablation_r04_d29508_parammatched,[29508],1888519,0.1960136185354937,164,174,0.1966117096299963,0.9250271079671606
classification,5,ablation_stl,stl_ablation_r05_d29508_parammatched,[29508],1888519,0.232986367753813,93,103,0.23764240606390538,0.9086934820398961
classification,1,ablation_stl,stl_ablation_r01_d27540_parammatched,[27540],1762567,0.2663456711118122,64,74,0.27221041678206664,0.8958021376568389
classification,2,ablation_stl,stl_ablation_r02_d27540_parammatched,[27540],1762567,0.220863956205765,125,135,0.22331012966399927,0.9157329477978003
classification,3,ablation_stl,stl_ablation_r03_d27540_parammatched,[27540],1762567,0.22204976856767003,109,119,0.22432738699362498,0.9145453606650488
classification,4,ablation_stl,stl_ablation_r04_d27540_parammatched,[27540],1762567,0.26512177050861546,65,75,0.269065743497956,0.8941326311078983
