[2026-05-20 12:00:44] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-20 12:00:44] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_024_d1_w25/training_log.txt
[2026-05-20 12:00:44] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_024_d1_w25/training_stats.csv
[2026-05-20 12:00:44] [CANDIDATE] task=autoencoding phase=ae_width_to_depth index=24 search_phase=width architecture=[25]
[2026-05-20 12:00:47] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=1 architecture=[25] train_loss=0.398886 val_loss=0.399016 best=0.399016 es=0/5
[2026-05-20 12:00:50] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=2 architecture=[25] train_loss=0.395964 val_loss=0.397436 best=0.397436 es=0/5
[2026-05-20 12:00:53] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=3 architecture=[25] train_loss=0.394008 val_loss=0.395455 best=0.395455 es=0/5
[2026-05-20 12:00:56] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=4 architecture=[25] train_loss=0.392028 val_loss=0.393600 best=0.393600 es=0/5
[2026-05-20 12:00:59] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=5 architecture=[25] train_loss=0.390070 val_loss=0.391483 best=0.391483 es=0/5
[2026-05-20 12:01:01] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=6 architecture=[25] train_loss=0.388057 val_loss=0.389344 best=0.389344 es=0/5
[2026-05-20 12:01:04] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=7 architecture=[25] train_loss=0.386125 val_loss=0.387441 best=0.387441 es=0/5
[2026-05-20 12:01:07] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=8 architecture=[25] train_loss=0.384415 val_loss=0.385899 best=0.385899 es=0/5
[2026-05-20 12:01:10] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=9 architecture=[25] train_loss=0.383031 val_loss=0.384617 best=0.384617 es=0/5
[2026-05-20 12:01:13] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=10 architecture=[25] train_loss=0.381888 val_loss=0.383566 best=0.383566 es=0/5
[2026-05-20 12:01:16] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=11 architecture=[25] train_loss=0.380999 val_loss=0.382782 best=0.382782 es=0/5
[2026-05-20 12:01:18] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=12 architecture=[25] train_loss=0.380216 val_loss=0.382027 best=0.382027 es=0/5
[2026-05-20 12:01:21] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=13 architecture=[25] train_loss=0.379601 val_loss=0.381493 best=0.381493 es=0/5
[2026-05-20 12:01:24] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=14 architecture=[25] train_loss=0.379148 val_loss=0.381007 best=0.381007 es=0/5
[2026-05-20 12:01:27] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=15 architecture=[25] train_loss=0.378833 val_loss=0.380708 best=0.380708 es=0/5
[2026-05-20 12:01:30] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=16 architecture=[25] train_loss=0.378528 val_loss=0.380499 best=0.380499 es=0/5
[2026-05-20 12:01:33] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=17 architecture=[25] train_loss=0.378362 val_loss=0.380377 best=0.380377 es=0/5
[2026-05-20 12:01:35] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=18 architecture=[25] train_loss=0.378209 val_loss=0.380212 best=0.380212 es=0/5
[2026-05-20 12:01:38] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=19 architecture=[25] train_loss=0.378070 val_loss=0.380077 best=0.380077 es=0/5
[2026-05-20 12:01:41] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=20 architecture=[25] train_loss=0.377987 val_loss=0.380074 best=0.380077 es=1/5
[2026-05-20 12:01:44] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=21 architecture=[25] train_loss=0.377935 val_loss=0.379856 best=0.379856 es=0/5
[2026-05-20 12:01:47] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=22 architecture=[25] train_loss=0.377865 val_loss=0.379887 best=0.379856 es=1/5
[2026-05-20 12:01:50] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=23 architecture=[25] train_loss=0.377774 val_loss=0.379877 best=0.379856 es=2/5
[2026-05-20 12:01:53] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=24 architecture=[25] train_loss=0.377800 val_loss=0.380025 best=0.379856 es=3/5
[2026-05-20 12:01:55] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=25 architecture=[25] train_loss=0.377748 val_loss=0.380055 best=0.379856 es=4/5
[2026-05-20 12:01:58] [autoencoding][ae_width_to_depth][cand_024_d1_w25] epoch=26 architecture=[25] train_loss=0.377681 val_loss=0.380059 best=0.379856 es=5/5
