task,family,phase,architecture,best_val,parameter_count,source,order_key,marker_label
inverse,ADP,ae_width_to_depth,[1],1.3479269742965698,15,/home/anurag-basistha/Projects/Untapped/Breaking-the-Neural-Barrier/MLPS/tabular/shared/dae_dnn/results/goliath_w2d_remaining_tasks_gpu/inverse/ae_width_to_depth/cand_000_d1_w1/candidate_state.json,0,cand_000_d1_w1
inverse,ADP,ae_width_to_depth,[2],1.3112670183181763,26,/home/anurag-basistha/Projects/Untapped/Breaking-the-Neural-Barrier/MLPS/tabular/shared/dae_dnn/results/goliath_w2d_remaining_tasks_gpu/inverse/ae_width_to_depth/cand_001_d1_w2/candidate_state.json,1,cand_001_d1_w2
inverse,ADP,ae_width_to_depth,[3],1.3358784914016724,37,/home/anurag-basistha/Projects/Untapped/Breaking-the-Neural-Barrier/MLPS/tabular/shared/dae_dnn/results/goliath_w2d_remaining_tasks_gpu/inverse/ae_width_to_depth/cand_002_d1_w3/candidate_state.json,2,cand_002_d1_w3
inverse,ADP,ae_width_to_depth,[4],1.3923901319503784,48,/home/anurag-basistha/Projects/Untapped/Breaking-the-Neural-Barrier/MLPS/tabular/shared/dae_dnn/results/goliath_w2d_remaining_tasks_gpu/inverse/ae_width_to_depth/cand_003_d1_w4/candidate_state.json,3,cand_003_d1_w4
inverse,ADP,ae_width_to_depth,[5],1.3642714023590088,59,/home/anurag-basistha/Projects/Untapped/Breaking-the-Neural-Barrier/MLPS/tabular/shared/dae_dnn/results/goliath_w2d_remaining_tasks_gpu/inverse/ae_width_to_depth/cand_004_d1_w5/candidate_state.json,4,cand_004_d1_w5
inverse,ADP,ae_width_to_depth,[6],1.3716721534729004,70,/home/anurag-basistha/Projects/Untapped/Breaking-the-Neural-Barrier/MLPS/tabular/shared/dae_dnn/results/goliath_w2d_remaining_tasks_gpu/inverse/ae_width_to_depth/cand_005_d1_w6/candidate_state.json,5,cand_005_d1_w6
inverse,ADP,ae_width_to_depth,[7],1.3671406507492065,81,/home/anurag-basistha/Projects/Untapped/Breaking-the-Neural-Barrier/MLPS/tabular/shared/dae_dnn/results/goliath_w2d_remaining_tasks_gpu/inverse/ae_width_to_depth/cand_006_d1_w7/candidate_state.json,6,cand_006_d1_w7
inverse,ADP,ae_width_to_depth,[8],1.3574289083480835,92,/home/anurag-basistha/Projects/Untapped/Breaking-the-Neural-Barrier/MLPS/tabular/shared/dae_dnn/results/goliath_w2d_remaining_tasks_gpu/inverse/ae_width_to_depth/cand_007_d1_w8/candidate_state.json,7,cand_007_d1_w8
inverse,ADP,ae_width_to_depth,[9],1.3648840188980103,103,/home/anurag-basistha/Projects/Untapped/Breaking-the-Neural-Barrier/MLPS/tabular/shared/dae_dnn/results/goliath_w2d_remaining_tasks_gpu/inverse/ae_width_to_depth/cand_008_d1_w9/candidate_state.json,8,cand_008_d1_w9
inverse,ADP,ae_width_to_depth,[10],1.3520097732543945,114,/home/anurag-basistha/Projects/Untapped/Breaking-the-Neural-Barrier/MLPS/tabular/shared/dae_dnn/results/goliath_w2d_remaining_tasks_gpu/inverse/ae_width_to_depth/cand_009_d1_w10/candidate_state.json,9,cand_009_d1_w10
inverse,ADP,ae_width_to_depth,[11],1.3582653999328613,125,/home/anurag-basistha/Projects/Untapped/Breaking-the-Neural-Barrier/MLPS/tabular/shared/dae_dnn/results/goliath_w2d_remaining_tasks_gpu/inverse/ae_width_to_depth/cand_010_d1_w11/candidate_state.json,10,cand_010_d1_w11
inverse,ADP,ae_width_to_depth,"[11, 11]",0.8397467732429504,279,/home/anurag-basistha/Projects/Untapped/Breaking-the-Neural-Barrier/MLPS/tabular/shared/dae_dnn/results/goliath_w2d_remaining_tasks_gpu/inverse/ae_width_to_depth/cand_012_d2_w11/candidate_state.json,12,cand_012_d2_w11
inverse,ADP,ae_width_to_depth,"[12, 12]",0.7895642518997192,316,/home/anurag-basistha/Projects/Untapped/Breaking-the-Neural-Barrier/MLPS/tabular/shared/dae_dnn/results/goliath_w2d_remaining_tasks_gpu/inverse/ae_width_to_depth/cand_014_d2_w12/candidate_state.json,14,cand_014_d2_w12
inverse,ADP,ae_width_to_depth,"[13, 13]",0.8165693879127502,355,/home/anurag-basistha/Projects/Untapped/Breaking-the-Neural-Barrier/MLPS/tabular/shared/dae_dnn/results/goliath_w2d_remaining_tasks_gpu/inverse/ae_width_to_depth/cand_016_d2_w13/candidate_state.json,16,cand_016_d2_w13
inverse,ADP,ae_width_to_depth,"[14, 14]",0.8234800100326538,396,/home/anurag-basistha/Projects/Untapped/Breaking-the-Neural-Barrier/MLPS/tabular/shared/dae_dnn/results/goliath_w2d_remaining_tasks_gpu/inverse/ae_width_to_depth/cand_018_d2_w14/candidate_state.json,18,cand_018_d2_w14
inverse,ADP,ae_width_to_depth,"[15, 15]",0.7757516503334045,439,/home/anurag-basistha/Projects/Untapped/Breaking-the-Neural-Barrier/MLPS/tabular/shared/dae_dnn/results/goliath_w2d_remaining_tasks_gpu/inverse/ae_width_to_depth/cand_020_d2_w15/candidate_state.json,20,cand_020_d2_w15
inverse,ADP,ae_width_to_depth,"[16, 16]",0.7974799275398254,484,/home/anurag-basistha/Projects/Untapped/Breaking-the-Neural-Barrier/MLPS/tabular/shared/dae_dnn/results/goliath_w2d_remaining_tasks_gpu/inverse/ae_width_to_depth/cand_022_d2_w16/candidate_state.json,22,cand_022_d2_w16
inverse,ADP,ae_width_to_depth,"[17, 17]",0.8141191005706787,531,/home/anurag-basistha/Projects/Untapped/Breaking-the-Neural-Barrier/MLPS/tabular/shared/dae_dnn/results/goliath_w2d_remaining_tasks_gpu/inverse/ae_width_to_depth/cand_024_d2_w17/candidate_state.json,24,cand_024_d2_w17
