[2026-05-16 17:32:52] Initialized ContinuousLogger for representation_random (Mode: random)
[2026-05-16 17:34:40] [representation][random][cand_008_d3_w2] epoch=44 train_loss=0.952702 val_loss=0.959597 best=0.959597 es=0/5
[2026-05-16 17:34:42] [representation][random][cand_008_d3_w2] epoch=45 train_loss=0.951242 val_loss=0.958205 best=0.958205 es=0/5
[2026-05-16 17:34:45] [representation][random][cand_008_d3_w2] epoch=46 train_loss=0.949808 val_loss=0.956811 best=0.956811 es=0/5
[2026-05-16 17:34:47] [representation][random][cand_008_d3_w2] epoch=47 train_loss=0.948409 val_loss=0.955403 best=0.955403 es=0/5
[2026-05-16 17:34:50] [representation][random][cand_008_d3_w2] epoch=48 train_loss=0.947061 val_loss=0.954097 best=0.954097 es=0/5
[2026-05-16 17:34:52] [representation][random][cand_008_d3_w2] epoch=49 train_loss=0.945694 val_loss=0.952747 best=0.952747 es=0/5
[2026-05-16 17:34:55] [representation][random][cand_008_d3_w2] epoch=50 train_loss=0.944354 val_loss=0.951446 best=0.951446 es=0/5
[2026-05-16 17:34:57] [representation][random][cand_008_d3_w2] epoch=51 train_loss=0.943032 val_loss=0.950179 best=0.950179 es=0/5
[2026-05-16 17:35:00] [representation][random][cand_008_d3_w2] epoch=52 train_loss=0.941733 val_loss=0.948874 best=0.948874 es=0/5
[2026-05-16 17:35:02] [representation][random][cand_008_d3_w2] epoch=53 train_loss=0.940452 val_loss=0.947607 best=0.947607 es=0/5
[2026-05-16 17:35:05] [representation][random][cand_008_d3_w2] epoch=54 train_loss=0.939215 val_loss=0.946360 best=0.946360 es=0/5
[2026-05-16 17:35:07] [representation][random][cand_008_d3_w2] epoch=55 train_loss=0.937946 val_loss=0.945156 best=0.945156 es=0/5
[2026-05-16 17:35:10] [representation][random][cand_008_d3_w2] epoch=56 train_loss=0.936666 val_loss=0.943897 best=0.943897 es=0/5
[2026-05-16 17:35:12] [representation][random][cand_008_d3_w2] epoch=57 train_loss=0.935425 val_loss=0.942666 best=0.942666 es=0/5
[2026-05-16 17:35:14] [representation][random][cand_008_d3_w2] epoch=58 train_loss=0.934232 val_loss=0.941471 best=0.941471 es=0/5
[2026-05-16 17:35:17] [representation][random][cand_008_d3_w2] epoch=59 train_loss=0.933055 val_loss=0.940308 best=0.940308 es=0/5
[2026-05-16 17:35:19] [representation][random][cand_008_d3_w2] epoch=60 train_loss=0.931891 val_loss=0.939171 best=0.939171 es=0/5
[2026-05-16 17:35:22] [representation][random][cand_008_d3_w2] epoch=61 train_loss=0.930747 val_loss=0.938041 best=0.938041 es=0/5
[2026-05-16 17:35:24] [representation][random][cand_008_d3_w2] epoch=62 train_loss=0.929634 val_loss=0.937011 best=0.937011 es=0/5
[2026-05-16 17:35:27] [representation][random][cand_008_d3_w2] epoch=63 train_loss=0.928549 val_loss=0.935925 best=0.935925 es=0/5
[2026-05-16 17:35:29] [representation][random][cand_008_d3_w2] epoch=64 train_loss=0.927489 val_loss=0.934889 best=0.934889 es=0/5
[2026-05-16 17:35:31] [representation][random][cand_008_d3_w2] epoch=65 train_loss=0.926450 val_loss=0.933858 best=0.933858 es=0/5
[2026-05-16 17:35:34] [representation][random][cand_008_d3_w2] epoch=66 train_loss=0.925484 val_loss=0.932927 best=0.932927 es=0/5
[2026-05-16 17:35:36] [representation][random][cand_008_d3_w2] epoch=67 train_loss=0.924502 val_loss=0.932003 best=0.932003 es=0/5
[2026-05-16 17:35:39] [representation][random][cand_008_d3_w2] epoch=68 train_loss=0.923525 val_loss=0.930989 best=0.930989 es=0/5
[2026-05-16 17:35:41] [representation][random][cand_008_d3_w2] epoch=69 train_loss=0.922570 val_loss=0.930061 best=0.930061 es=0/5
[2026-05-16 17:35:44] [representation][random][cand_008_d3_w2] epoch=70 train_loss=0.921552 val_loss=0.929078 best=0.929078 es=0/5
[2026-05-16 17:35:46] [representation][random][cand_008_d3_w2] epoch=71 train_loss=0.920541 val_loss=0.928104 best=0.928104 es=0/5
[2026-05-16 17:35:49] [representation][random][cand_008_d3_w2] epoch=72 train_loss=0.919637 val_loss=0.927212 best=0.927212 es=0/5
[2026-05-16 17:35:51] [representation][random][cand_008_d3_w2] epoch=73 train_loss=0.918795 val_loss=0.926395 best=0.926395 es=0/5
[2026-05-16 17:35:53] [representation][random][cand_008_d3_w2] epoch=74 train_loss=0.917985 val_loss=0.925575 best=0.925575 es=0/5
[2026-05-16 17:35:56] [representation][random][cand_008_d3_w2] epoch=75 train_loss=0.917304 val_loss=0.924925 best=0.924925 es=0/5
[2026-05-16 17:35:58] [representation][random][cand_008_d3_w2] epoch=76 train_loss=0.916490 val_loss=0.924078 best=0.924078 es=0/5
[2026-05-16 17:36:01] [representation][random][cand_008_d3_w2] epoch=77 train_loss=0.915682 val_loss=0.923271 best=0.923271 es=0/5
