[2026-05-16 18:03:44] Initialized ContinuousLogger for representation_random (Mode: random)
[2026-05-16 18:03:44] Logs: DAE/DNN/results/search_suite_20260516/representation/random/cand_013_d3_w8/training_log.txt
[2026-05-16 18:03:44] CSV: DAE/DNN/results/search_suite_20260516/representation/random/cand_013_d3_w8/training_stats.csv
[2026-05-16 18:03:47] [representation][random][cand_013_d3_w8] epoch=1 train_loss=1.128707 val_loss=1.039725 best=1.039725 es=0/5
[2026-05-16 18:03:49] [representation][random][cand_013_d3_w8] epoch=2 train_loss=1.056657 val_loss=1.023543 best=1.023543 es=0/5
[2026-05-16 18:03:52] [representation][random][cand_013_d3_w8] epoch=3 train_loss=1.013494 val_loss=1.002089 best=1.002089 es=0/5
[2026-05-16 18:03:54] [representation][random][cand_013_d3_w8] epoch=4 train_loss=0.984234 val_loss=0.978990 best=0.978990 es=0/5
[2026-05-16 18:03:57] [representation][random][cand_013_d3_w8] epoch=5 train_loss=0.961566 val_loss=0.960346 best=0.960346 es=0/5
[2026-05-16 18:03:59] [representation][random][cand_013_d3_w8] epoch=6 train_loss=0.943901 val_loss=0.943947 best=0.943947 es=0/5
[2026-05-16 18:04:01] [representation][random][cand_013_d3_w8] epoch=7 train_loss=0.928870 val_loss=0.929440 best=0.929440 es=0/5
[2026-05-16 18:04:04] [representation][random][cand_013_d3_w8] epoch=8 train_loss=0.915433 val_loss=0.916784 best=0.916784 es=0/5
[2026-05-16 18:04:06] [representation][random][cand_013_d3_w8] epoch=9 train_loss=0.903468 val_loss=0.905488 best=0.905488 es=0/5
[2026-05-16 18:04:09] [representation][random][cand_013_d3_w8] epoch=10 train_loss=0.892801 val_loss=0.895342 best=0.895342 es=0/5
[2026-05-16 18:04:11] [representation][random][cand_013_d3_w8] epoch=11 train_loss=0.883241 val_loss=0.886290 best=0.886290 es=0/5
[2026-05-16 18:04:14] [representation][random][cand_013_d3_w8] epoch=12 train_loss=0.874499 val_loss=0.877694 best=0.877694 es=0/5
[2026-05-16 18:04:16] [representation][random][cand_013_d3_w8] epoch=13 train_loss=0.866316 val_loss=0.869782 best=0.869782 es=0/5
[2026-05-16 18:04:19] [representation][random][cand_013_d3_w8] epoch=14 train_loss=0.858750 val_loss=0.862408 best=0.862408 es=0/5
[2026-05-16 18:04:21] [representation][random][cand_013_d3_w8] epoch=15 train_loss=0.851851 val_loss=0.855878 best=0.855878 es=0/5
[2026-05-16 18:04:23] [representation][random][cand_013_d3_w8] epoch=16 train_loss=0.845529 val_loss=0.850043 best=0.850043 es=0/5
[2026-05-16 18:04:26] [representation][random][cand_013_d3_w8] epoch=17 train_loss=0.839698 val_loss=0.844408 best=0.844408 es=0/5
[2026-05-16 18:04:28] [representation][random][cand_013_d3_w8] epoch=18 train_loss=0.834288 val_loss=0.839328 best=0.839328 es=0/5
[2026-05-16 18:04:31] [representation][random][cand_013_d3_w8] epoch=19 train_loss=0.829319 val_loss=0.834469 best=0.834469 es=0/5
[2026-05-16 18:04:33] [representation][random][cand_013_d3_w8] epoch=20 train_loss=0.824692 val_loss=0.829813 best=0.829813 es=0/5
[2026-05-16 18:04:36] [representation][random][cand_013_d3_w8] epoch=21 train_loss=0.820329 val_loss=0.825469 best=0.825469 es=0/5
[2026-05-16 18:04:38] [representation][random][cand_013_d3_w8] epoch=22 train_loss=0.816260 val_loss=0.821605 best=0.821605 es=0/5
[2026-05-16 18:04:41] [representation][random][cand_013_d3_w8] epoch=23 train_loss=0.812631 val_loss=0.818283 best=0.818283 es=0/5
[2026-05-16 18:04:43] [representation][random][cand_013_d3_w8] epoch=24 train_loss=0.809460 val_loss=0.815211 best=0.815211 es=0/5
[2026-05-16 18:04:46] [representation][random][cand_013_d3_w8] epoch=25 train_loss=0.806626 val_loss=0.812521 best=0.812521 es=0/5
[2026-05-16 18:04:48] [representation][random][cand_013_d3_w8] epoch=26 train_loss=0.804081 val_loss=0.810191 best=0.810191 es=0/5
[2026-05-16 18:04:51] [representation][random][cand_013_d3_w8] epoch=27 train_loss=0.801764 val_loss=0.807882 best=0.807882 es=0/5
[2026-05-16 18:04:53] [representation][random][cand_013_d3_w8] epoch=28 train_loss=0.799545 val_loss=0.805692 best=0.805692 es=0/5
[2026-05-16 18:04:56] [representation][random][cand_013_d3_w8] epoch=29 train_loss=0.797464 val_loss=0.803666 best=0.803666 es=0/5
[2026-05-16 18:04:58] [representation][random][cand_013_d3_w8] epoch=30 train_loss=0.795448 val_loss=0.801795 best=0.801795 es=0/5
[2026-05-16 18:05:00] [representation][random][cand_013_d3_w8] epoch=31 train_loss=0.793413 val_loss=0.799586 best=0.799586 es=0/5
[2026-05-16 18:05:03] [representation][random][cand_013_d3_w8] epoch=32 train_loss=0.791244 val_loss=0.797463 best=0.797463 es=0/5
[2026-05-16 18:05:05] [representation][random][cand_013_d3_w8] epoch=33 train_loss=0.788961 val_loss=0.795633 best=0.795633 es=0/5
[2026-05-16 18:05:08] [representation][random][cand_013_d3_w8] epoch=34 train_loss=0.787024 val_loss=0.793481 best=0.793481 es=0/5
[2026-05-16 18:05:10] [representation][random][cand_013_d3_w8] epoch=35 train_loss=0.785243 val_loss=0.791715 best=0.791715 es=0/5
[2026-05-16 18:05:13] [representation][random][cand_013_d3_w8] epoch=36 train_loss=0.783602 val_loss=0.790206 best=0.790206 es=0/5
[2026-05-16 18:05:15] [representation][random][cand_013_d3_w8] epoch=37 train_loss=0.782103 val_loss=0.788793 best=0.788793 es=0/5
[2026-05-16 18:05:18] [representation][random][cand_013_d3_w8] epoch=38 train_loss=0.780674 val_loss=0.787522 best=0.787522 es=0/5
[2026-05-16 18:05:20] [representation][random][cand_013_d3_w8] epoch=39 train_loss=0.779244 val_loss=0.785871 best=0.785871 es=0/5
[2026-05-16 18:05:23] [representation][random][cand_013_d3_w8] epoch=40 train_loss=0.777967 val_loss=0.784522 best=0.784522 es=0/5
[2026-05-16 18:05:25] [representation][random][cand_013_d3_w8] epoch=41 train_loss=0.776822 val_loss=0.783367 best=0.783367 es=0/5
[2026-05-16 18:05:28] [representation][random][cand_013_d3_w8] epoch=42 train_loss=0.775680 val_loss=0.782268 best=0.782268 es=0/5
[2026-05-16 18:05:30] [representation][random][cand_013_d3_w8] epoch=43 train_loss=0.774610 val_loss=0.781276 best=0.781276 es=0/5
[2026-05-16 18:05:33] [representation][random][cand_013_d3_w8] epoch=44 train_loss=0.773632 val_loss=0.780258 best=0.780258 es=0/5
[2026-05-16 18:05:35] [representation][random][cand_013_d3_w8] epoch=45 train_loss=0.772652 val_loss=0.779446 best=0.779446 es=0/5
[2026-05-16 18:05:38] [representation][random][cand_013_d3_w8] epoch=46 train_loss=0.771586 val_loss=0.778267 best=0.778267 es=0/5
[2026-05-16 18:05:40] [representation][random][cand_013_d3_w8] epoch=47 train_loss=0.770600 val_loss=0.777259 best=0.777259 es=0/5
[2026-05-16 18:05:43] [representation][random][cand_013_d3_w8] epoch=48 train_loss=0.769721 val_loss=0.776527 best=0.776527 es=0/5
[2026-05-16 18:05:45] [representation][random][cand_013_d3_w8] epoch=49 train_loss=0.768794 val_loss=0.775614 best=0.775614 es=0/5
[2026-05-16 18:05:47] [representation][random][cand_013_d3_w8] epoch=50 train_loss=0.767920 val_loss=0.774747 best=0.774747 es=0/5
[2026-05-16 18:05:50] [representation][random][cand_013_d3_w8] epoch=51 train_loss=0.767050 val_loss=0.773936 best=0.773936 es=0/5
[2026-05-16 18:05:52] [representation][random][cand_013_d3_w8] epoch=52 train_loss=0.766277 val_loss=0.773134 best=0.773134 es=0/5
[2026-05-16 18:05:55] [representation][random][cand_013_d3_w8] epoch=53 train_loss=0.765514 val_loss=0.772394 best=0.772394 es=0/5
[2026-05-16 18:05:57] [representation][random][cand_013_d3_w8] epoch=54 train_loss=0.764772 val_loss=0.771850 best=0.771850 es=0/5
[2026-05-16 18:06:00] [representation][random][cand_013_d3_w8] epoch=55 train_loss=0.764091 val_loss=0.771086 best=0.771086 es=0/5
[2026-05-16 18:06:02] [representation][random][cand_013_d3_w8] epoch=56 train_loss=0.763369 val_loss=0.770416 best=0.770416 es=0/5
[2026-05-16 18:06:05] [representation][random][cand_013_d3_w8] epoch=57 train_loss=0.762703 val_loss=0.769975 best=0.769975 es=0/5
[2026-05-16 18:06:07] [representation][random][cand_013_d3_w8] epoch=58 train_loss=0.762105 val_loss=0.769149 best=0.769149 es=0/5
