[2026-05-18 01:30:00] Initialized ContinuousLogger for representation_ae_alt_width (Mode: ae_alt_width)
[2026-05-18 01:30:00] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_046_d1_w47/training_log.txt
[2026-05-18 01:30:00] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_046_d1_w47/training_stats.csv
[2026-05-18 01:30:00] [CANDIDATE] task=representation phase=ae_alt_width index=46 search_phase=width architecture=[47]
[2026-05-18 01:30:05] [representation][ae_alt_width][cand_046_d1_w47] epoch=1 architecture=[47] train_loss=0.430679 val_loss=0.429869 best=0.428064 es=0/5
[2026-05-18 01:30:07] [representation][ae_alt_width][cand_046_d1_w47] epoch=2 architecture=[47] train_loss=0.426572 val_loss=0.428623 best=0.428064 es=0/5
[2026-05-18 01:30:09] [representation][ae_alt_width][cand_046_d1_w47] epoch=3 architecture=[47] train_loss=0.425919 val_loss=0.428542 best=0.428064 es=1/5
[2026-05-18 01:30:12] [representation][ae_alt_width][cand_046_d1_w47] epoch=4 architecture=[47] train_loss=0.425999 val_loss=0.427998 best=0.427998 es=0/5
[2026-05-18 01:30:16] [representation][ae_alt_width][cand_046_d1_w47] epoch=5 architecture=[47] train_loss=0.425429 val_loss=0.427595 best=0.427595 es=0/5
[2026-05-18 01:30:18] [representation][ae_alt_width][cand_046_d1_w47] epoch=6 architecture=[47] train_loss=0.425105 val_loss=0.428081 best=0.427595 es=1/5
[2026-05-18 01:30:20] [representation][ae_alt_width][cand_046_d1_w47] epoch=7 architecture=[47] train_loss=0.425155 val_loss=0.427894 best=0.427595 es=2/5
[2026-05-18 01:30:22] [representation][ae_alt_width][cand_046_d1_w47] epoch=8 architecture=[47] train_loss=0.425173 val_loss=0.428696 best=0.427595 es=3/5
[2026-05-18 01:30:25] [representation][ae_alt_width][cand_046_d1_w47] epoch=9 architecture=[47] train_loss=0.425114 val_loss=0.427969 best=0.427595 es=4/5
[2026-05-18 01:30:29] [representation][ae_alt_width][cand_046_d1_w47] epoch=10 architecture=[47] train_loss=0.425157 val_loss=0.428177 best=0.427595 es=5/5
