task,depth,candidate_index,width,architecture,parameter_count,log10_parameter_count,selected_for_run
classification,1,1,1,[1],71,1.851258,True
classification,1,2,3,[3],199,2.298853,True
classification,1,3,5,[5],327,2.514548,True
classification,1,4,6,[6],391,2.592177,True
classification,1,5,8,[8],519,2.715167,True
classification,1,6,9,[9],583,2.765669,True
classification,1,7,11,[11],711,2.85187,True
classification,1,8,12,[12],775,2.889302,True
classification,1,9,14,[14],903,2.955688,True
classification,1,10,15,[15],967,2.985426,True
classification,1,11,16,[16],1031,3.013259,True
classification,1,12,31,[31],1991,3.299071,True
classification,1,13,47,[47],3015,3.479287,True
classification,1,14,62,[62],3975,3.599337,True
classification,1,15,78,[78],4999,3.698883,True
classification,1,16,94,[94],6023,3.779813,True
classification,1,17,109,[109],6983,3.844042,True
classification,1,18,125,[125],8007,3.90347,True
classification,1,19,140,[140],8967,3.952647,True
classification,1,20,156,[156],9991,3.999609,True
classification,1,21,312,[312],19975,4.300487,True
classification,1,22,469,[469],30023,4.477454,True
classification,1,23,625,[625],40007,4.602136,True
classification,1,24,781,[781],49991,4.698892,True
classification,1,25,937,[937],59975,4.77797,True
classification,1,26,1094,[1094],70023,4.845241,True
classification,1,27,1250,[1250],80007,4.903128,True
classification,1,28,1406,[1406],89991,4.954199,True
classification,1,29,1562,[1562],99975,4.999891,True
classification,1,30,3125,[3125],200007,5.301045,True
classification,1,31,4687,[4687],299975,5.477085,True
classification,1,32,6250,[6250],400007,5.602068,True
classification,1,33,7812,[7812],499975,5.698948,True
classification,1,34,9375,[9375],600007,5.778156,True
classification,1,35,10937,[10937],699975,5.845083,True
classification,1,36,12500,[12500],800007,5.903094,True
classification,1,37,14062,[14062],899975,5.95423,True
classification,1,38,15625,[15625],1000007,6.000003,True
classification,1,39,18042,[18042],1154695,6.062467,True
classification,1,40,20458,[20458],1309319,6.117045,True
classification,1,41,22875,[22875],1464007,6.165543,True
classification,1,42,25292,[25292],1618695,6.209165,True
classification,1,43,27709,[27709],1773383,6.248803,True
classification,1,44,30126,[30126],1928071,6.285123,True
classification,1,45,32542,[32542],2082695,6.318626,True
classification,1,46,32769,[32769],2097223,6.321645,True
classification,1,47,37376,[37376],2392071,6.378774,True
classification,2,1,1,"[1, 1]",75,1.875061,True
classification,2,2,3,"[3, 3]",217,2.33646,True
classification,2,3,4,"[4, 4]",291,2.463893,True
classification,2,4,5,"[5, 5]",367,2.564666,True
classification,2,5,7,"[7, 7]",525,2.720159,True
classification,2,6,8,"[8, 8]",607,2.783189,True
classification,2,7,9,"[9, 9]",691,2.839478,True
classification,2,8,10,"[10, 10]",777,2.890421,True
classification,2,9,11,"[11, 11]",865,2.937016,True
classification,2,10,12,"[12, 12]",955,2.980003,True
classification,2,11,22,"[22, 22]",1965,3.293363,True
classification,2,12,31,"[31, 31]",3045,3.483587,True
classification,2,13,38,"[38, 38]",3997,3.601734,True
classification,2,14,45,"[45, 45]",5047,3.703033,True
classification,2,15,51,"[51, 51]",6025,3.779957,True
