[2026-06-11 01:29:43] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-11 01:29:43] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_01/simulation/cand_416_d4_w105/training_log.txt
[2026-06-11 01:29:43] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_01/simulation/cand_416_d4_w105/training_stats.csv
[2026-06-11 01:29:43] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.004367 val_loss=0.000736 best=0.000736 es=0/10
[2026-06-11 01:29:44] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.002348 val_loss=0.002114 best=0.002114 es=0/10
[2026-06-11 01:29:44] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.004511 val_loss=0.001043 best=0.001043 es=0/10
[2026-06-11 01:29:44] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.002050 val_loss=0.001708 best=0.001708 es=0/10
[2026-06-11 01:29:44] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.002396 val_loss=0.001625 best=0.001625 es=0/10
[2026-06-11 01:29:44] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.002099 val_loss=0.000866 best=0.000866 es=0/10
[2026-06-11 01:29:45] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.000763 val_loss=0.000682 best=0.000682 es=0/10
[2026-06-11 01:29:45] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.001475 val_loss=0.001202 best=0.001202 es=0/10
[2026-06-11 01:29:45] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.001662 val_loss=0.000649 best=0.000649 es=0/10
[2026-06-11 01:29:45] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.000608 val_loss=0.000505 best=0.000505 es=0/10
[2026-06-11 01:29:45] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.000550 val_loss=0.000809 best=0.000809 es=0/10
[2026-06-11 01:29:46] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.001177 val_loss=0.000579 best=0.000579 es=0/10
[2026-06-11 01:29:46] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.000502 val_loss=0.000397 best=0.000397 es=0/10
[2026-06-11 01:29:46] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.000478 val_loss=0.000353 best=0.000353 es=0/10
[2026-06-11 01:29:46] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.000718 val_loss=0.000368 best=0.000368 es=0/10
[2026-06-11 01:29:46] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.001067 val_loss=0.000352 best=0.000352 es=0/10
[2026-06-11 01:29:47] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.000350 val_loss=0.000719 best=0.000719 es=0/10
[2026-06-11 01:29:47] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.001953 val_loss=0.000492 best=0.000492 es=0/10
[2026-06-11 01:29:47] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.002613 val_loss=0.000590 best=0.000590 es=0/10
[2026-06-11 01:29:48] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.001122 val_loss=0.000313 best=0.000313 es=0/10
[2026-06-11 01:29:48] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.000764 val_loss=0.000473 best=0.000473 es=0/10
[2026-06-11 01:29:48] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.000608 val_loss=0.000360 best=0.000360 es=0/10
[2026-06-11 01:29:48] Epoch 1 | architecture=[105, 104, 104, 104] train_loss=0.000417 val_loss=0.000379 best=0.000379 es=0/10
