[2026-06-11 00:51:50] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-11 00:51:50] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_01/simulation/cand_120_d2_w61/training_log.txt
[2026-06-11 00:51:50] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_01/simulation/cand_120_d2_w61/training_stats.csv
[2026-06-11 00:51:50] Epoch 1 | architecture=[61, 60] train_loss=0.007116 val_loss=0.007913 best=0.007913 es=0/10
[2026-06-11 00:51:51] Epoch 1 | architecture=[61, 60] train_loss=0.005079 val_loss=0.009014 best=0.009014 es=0/10
[2026-06-11 00:51:51] Epoch 1 | architecture=[61, 60] train_loss=0.004600 val_loss=0.004642 best=0.004642 es=0/10
[2026-06-11 00:51:51] Epoch 1 | architecture=[61, 60] train_loss=0.004826 val_loss=0.004528 best=0.004528 es=0/10
[2026-06-11 00:51:51] Epoch 1 | architecture=[61, 60] train_loss=0.002741 val_loss=0.003503 best=0.003503 es=0/10
[2026-06-11 00:51:51] Epoch 1 | architecture=[61, 60] train_loss=0.003454 val_loss=0.003115 best=0.003115 es=0/10
[2026-06-11 00:51:52] Epoch 1 | architecture=[61, 60] train_loss=0.002301 val_loss=0.002615 best=0.002615 es=0/10
[2026-06-11 00:51:52] Epoch 1 | architecture=[61, 60] train_loss=0.002037 val_loss=0.003099 best=0.003099 es=0/10
[2026-06-11 00:51:52] Epoch 1 | architecture=[61, 60] train_loss=0.002199 val_loss=0.002520 best=0.002520 es=0/10
[2026-06-11 00:51:52] Epoch 1 | architecture=[61, 60] train_loss=0.002568 val_loss=0.002732 best=0.002732 es=0/10
[2026-06-11 00:51:53] Epoch 1 | architecture=[61, 60] train_loss=0.002015 val_loss=0.002352 best=0.002352 es=0/10
[2026-06-11 00:51:53] Epoch 1 | architecture=[61, 60] train_loss=0.001717 val_loss=0.002773 best=0.002773 es=0/10
[2026-06-11 00:51:53] Epoch 1 | architecture=[61, 60] train_loss=0.002145 val_loss=0.002413 best=0.002413 es=0/10
[2026-06-11 00:51:53] Epoch 1 | architecture=[61, 60] train_loss=0.002058 val_loss=0.002611 best=0.002611 es=0/10
[2026-06-11 00:51:54] Epoch 1 | architecture=[61, 60] train_loss=0.002847 val_loss=0.002687 best=0.002687 es=0/10
[2026-06-11 00:51:54] Epoch 1 | architecture=[61, 60] train_loss=0.002051 val_loss=0.002454 best=0.002454 es=0/10
[2026-06-11 00:51:54] Epoch 1 | architecture=[61, 60] train_loss=0.001607 val_loss=0.002294 best=0.002294 es=0/10
[2026-06-11 00:51:54] Epoch 1 | architecture=[61, 60] train_loss=0.001682 val_loss=0.002086 best=0.002086 es=0/10
[2026-06-11 00:51:55] Epoch 1 | architecture=[61, 60] train_loss=0.002116 val_loss=0.002300 best=0.002300 es=0/10
[2026-06-11 00:51:55] Epoch 1 | architecture=[61, 60] train_loss=0.001700 val_loss=0.002341 best=0.002341 es=0/10
[2026-06-11 00:51:55] Epoch 1 | architecture=[61, 60] train_loss=0.001926 val_loss=0.002293 best=0.002293 es=0/10
[2026-06-11 00:51:56] Epoch 1 | architecture=[61, 60] train_loss=0.001700 val_loss=0.002255 best=0.002255 es=0/10
[2026-06-11 00:51:56] Epoch 1 | architecture=[61, 60] train_loss=0.002267 val_loss=0.002238 best=0.002238 es=0/10
[2026-06-11 00:51:56] Epoch 1 | architecture=[61, 60] train_loss=0.002151 val_loss=0.002263 best=0.002263 es=0/10
[2026-06-11 00:51:56] Epoch 1 | architecture=[61, 60] train_loss=0.001670 val_loss=0.002137 best=0.002137 es=0/10
[2026-06-11 00:51:57] Epoch 1 | architecture=[61, 60] train_loss=0.001575 val_loss=0.002079 best=0.002079 es=0/10
[2026-06-11 00:51:57] Epoch 1 | architecture=[61, 60] train_loss=0.001999 val_loss=0.002196 best=0.002196 es=0/10
[2026-06-11 00:51:57] Epoch 1 | architecture=[61, 60] train_loss=0.001943 val_loss=0.002347 best=0.002347 es=0/10
