[2026-05-18 03:03:01] Initialized ContinuousLogger for representation_ae_alt_width (Mode: ae_alt_width)
[2026-05-18 03:03:01] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_173_d1_w174/training_log.txt
[2026-05-18 03:03:01] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_173_d1_w174/training_stats.csv
[2026-05-18 03:03:01] [CANDIDATE] task=representation phase=ae_alt_width index=173 search_phase=width architecture=[174]
[2026-05-18 03:03:08] [representation][ae_alt_width][cand_173_d1_w174] epoch=1 architecture=[174] train_loss=0.335294 val_loss=0.318952 best=0.309238 es=0/5
[2026-05-18 03:03:11] [representation][ae_alt_width][cand_173_d1_w174] epoch=2 architecture=[174] train_loss=0.307184 val_loss=0.311473 best=0.309238 es=0/5
[2026-05-18 03:03:13] [representation][ae_alt_width][cand_173_d1_w174] epoch=3 architecture=[174] train_loss=0.305351 val_loss=0.312296 best=0.309238 es=1/5
[2026-05-18 03:03:15] [representation][ae_alt_width][cand_173_d1_w174] epoch=4 architecture=[174] train_loss=0.305482 val_loss=0.310081 best=0.309238 es=0/5
[2026-05-18 03:03:22] [representation][ae_alt_width][cand_173_d1_w174] epoch=5 architecture=[174] train_loss=0.304566 val_loss=0.308467 best=0.308467 es=0/5
[2026-05-18 03:03:25] [representation][ae_alt_width][cand_173_d1_w174] epoch=6 architecture=[174] train_loss=0.304307 val_loss=0.312426 best=0.308467 es=1/5
[2026-05-18 03:03:27] [representation][ae_alt_width][cand_173_d1_w174] epoch=7 architecture=[174] train_loss=0.305772 val_loss=0.309670 best=0.308467 es=2/5
[2026-05-18 03:03:29] [representation][ae_alt_width][cand_173_d1_w174] epoch=8 architecture=[174] train_loss=0.304883 val_loss=0.313699 best=0.308467 es=3/5
[2026-05-18 03:03:32] [representation][ae_alt_width][cand_173_d1_w174] epoch=9 architecture=[174] train_loss=0.304605 val_loss=0.310908 best=0.308467 es=4/5
[2026-05-18 03:03:44] [representation][ae_alt_width][cand_173_d1_w174] epoch=10 architecture=[174] train_loss=0.304037 val_loss=0.308828 best=0.308467 es=5/5
