task,repeat,row_type,phase,architecture,parameter_count,best_val,best_epoch,final_epoch,test_loss,test_acc
classification,4,ablation_stl,stl_ablation_r04_d04_w0010_10_10_10_10,"[10, 10, 10, 10]",1037,0.4972968174087593,206,216,0.48853168412854514,0.7984199927712088
classification,5,ablation_stl,stl_ablation_r05_d04_w0010_10_10_10_10,"[10, 10, 10, 10]",1037,0.5200510588694094,140,150,0.5163476544135109,0.7897110204643638
classification,1,ablation_stl,stl_ablation_r01_d04_w0016_16_16_16_16,"[16, 16, 16, 16]",1943,0.42701165079793507,132,142,0.42462692065866053,0.8254246914855166
classification,2,ablation_stl,stl_ablation_r02_d04_w0016_16_16_16_16,"[16, 16, 16, 16]",1943,0.4491363815513548,84,94,0.444727757102095,0.8159239944235039
classification,3,ablation_stl,stl_ablation_r03_d04_w0016_16_16_16_16,"[16, 16, 16, 16]",1943,0.4236570661771634,177,187,0.4258158892437738,0.8235314366362024
classification,4,ablation_stl,stl_ablation_r04_d04_w0016_16_16_16_16,"[16, 16, 16, 16]",1943,0.4376565715718443,151,161,0.43462457594907467,0.8212251080015834
classification,5,ablation_stl,stl_ablation_r05_d04_w0016_16_16_16_16,"[16, 16, 16, 16]",1943,0.4372071009428394,151,161,0.4370805465911018,0.8206054973236261
classification,1,ablation_stl,stl_ablation_r01_d04_w0022_22_22_22_22,"[22, 22, 22, 22]",3065,0.3910225414356363,130,140,0.38873523150741357,0.8400543880483985
classification,2,ablation_stl,stl_ablation_r02_d04_w0022_22_22_22_22,"[22, 22, 22, 22]",3065,0.3660879786652736,183,193,0.3670912220363939,0.8501402729729265
classification,3,ablation_stl,stl_ablation_r03_d04_w0022_22_22_22_22,"[22, 22, 22, 22]",3065,0.3921318222607654,119,129,0.38898385849065253,0.8392110290700676
classification,4,ablation_stl,stl_ablation_r04_d04_w0022_22_22_22_22,"[22, 22, 22, 22]",3065,0.3725658261767353,161,171,0.36630757532891867,0.8525326586461507
classification,5,ablation_stl,stl_ablation_r05_d04_w0022_22_22_22_22,"[22, 22, 22, 22]",3065,0.3796033185773071,119,129,0.3760127412898617,0.8478855785614705
classification,1,ablation_stl,stl_ablation_r01_d04_w0026_26_26_26_26,"[26, 26, 26, 26]",3933,0.36323321697978717,102,112,0.3623411723026378,0.8506221923891155
classification,2,ablation_stl,stl_ablation_r02_d04_w0026_26_26_26_26,"[26, 26, 26, 26]",3933,0.33915411277727564,189,199,0.3413530833437895,0.8601917350820124
classification,3,ablation_stl,stl_ablation_r03_d04_w0026_26_26_26_26,"[26, 26, 26, 26]",3933,0.3548707504791228,125,135,0.36294690673491753,0.8535825545171339
classification,4,ablation_stl,stl_ablation_r04_d04_w0026_26_26_26_26,"[26, 26, 26, 26]",3933,0.34153579341126206,157,167,0.34735928637663677,0.857696080962462
classification,5,ablation_stl,stl_ablation_r05_d04_w0026_26_26_26_26,"[26, 26, 26, 26]",3933,0.3546493218597805,111,121,0.3545511728221399,0.8570592588767836
classification,1,ablation_stl,stl_ablation_r01_d04_w0030_30_30_30_30,"[30, 30, 30, 30]",4897,0.3661407535878297,69,79,0.37131760669381186,0.8470422195831397
classification,2,ablation_stl,stl_ablation_r02_d04_w0030_30_30_30_30,"[30, 30, 30, 30]",4897,0.3326987092152239,102,112,0.33365971042189435,0.8661468821534913
classification,3,ablation_stl,stl_ablation_r03_d04_w0030_30_30_30_30,"[30, 30, 30, 30]",4897,0.3665315977751627,78,88,0.3722240282793435,0.8479372127846336
classification,4,ablation_stl,stl_ablation_r04_d04_w0030_30_30_30_30,"[30, 30, 30, 30]",4897,0.330941829715189,147,157,0.3488468718530594,0.8539267826715548
classification,5,ablation_stl,stl_ablation_r05_d04_w0030_30_30_30_30,"[30, 30, 30, 30]",4897,0.341069376100265,103,113,0.33711503460336223,0.8631348858023098
classification,1,ablation_stl,stl_ablation_r01_d04_w0034_34_34_34_34,"[34, 34, 34, 34]",5957,0.3247181914787925,103,113,0.32056093297038185,0.8716028984010602
classification,2,ablation_stl,stl_ablation_r02_d04_w0034_34_34_34_34,"[34, 34, 34, 34]",5957,0.3011857239463994,161,171,0.3009026058184785,0.8782292903736597
classification,3,ablation_stl,stl_ablation_r03_d04_w0034_34_34_34_34,"[34, 34, 34, 34]",5957,0.32140450622372263,115,125,0.34404050447510326,0.8584361714944665
classification,4,ablation_stl,stl_ablation_r04_d04_w0034_34_34_34_34,"[34, 34, 34, 34]",5957,0.30588542044596695,118,128,0.3044531857702084,0.8767146864942084
classification,5,ablation_stl,stl_ablation_r05_d04_w0034_34_34_34_34,"[34, 34, 34, 34]",5957,0.2944038823687828,126,136,0.2933989451433451,0.8829107932737819
