[2026-05-20 12:31:53] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-20 12:31:53] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_044_d1_w45/training_log.txt
[2026-05-20 12:31:53] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_044_d1_w45/training_stats.csv
[2026-05-20 12:31:53] [CANDIDATE] task=autoencoding phase=ae_width_to_depth index=44 search_phase=width architecture=[45]
[2026-05-20 12:31:56] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=1 architecture=[45] train_loss=0.054185 val_loss=0.037046 best=0.036389 es=0/5
[2026-05-20 12:31:59] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=2 architecture=[45] train_loss=0.052824 val_loss=0.036428 best=0.036389 es=0/5
[2026-05-20 12:32:02] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=3 architecture=[45] train_loss=0.052085 val_loss=0.036170 best=0.036170 es=0/5
[2026-05-20 12:32:04] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=4 architecture=[45] train_loss=0.051958 val_loss=0.036052 best=0.036052 es=0/5
[2026-05-20 12:32:08] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=5 architecture=[45] train_loss=0.051678 val_loss=0.035758 best=0.035758 es=0/5
[2026-05-20 12:32:10] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=6 architecture=[45] train_loss=0.051461 val_loss=0.035523 best=0.035523 es=0/5
[2026-05-20 12:32:13] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=7 architecture=[45] train_loss=0.051141 val_loss=0.035195 best=0.035195 es=0/5
[2026-05-20 12:32:16] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=8 architecture=[45] train_loss=0.050519 val_loss=0.034599 best=0.034599 es=0/5
[2026-05-20 12:32:19] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=9 architecture=[45] train_loss=0.049970 val_loss=0.034038 best=0.034038 es=0/5
[2026-05-20 12:32:22] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=10 architecture=[45] train_loss=0.049360 val_loss=0.033278 best=0.033278 es=0/5
[2026-05-20 12:32:25] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=11 architecture=[45] train_loss=0.048679 val_loss=0.032668 best=0.032668 es=0/5
[2026-05-20 12:32:28] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=12 architecture=[45] train_loss=0.047936 val_loss=0.032190 best=0.032190 es=0/5
[2026-05-20 12:32:31] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=13 architecture=[45] train_loss=0.047574 val_loss=0.031784 best=0.031784 es=0/5
[2026-05-20 12:32:33] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=14 architecture=[45] train_loss=0.047387 val_loss=0.031662 best=0.031662 es=0/5
[2026-05-20 12:32:36] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=15 architecture=[45] train_loss=0.047010 val_loss=0.031502 best=0.031502 es=0/5
[2026-05-20 12:32:39] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=16 architecture=[45] train_loss=0.047077 val_loss=0.031649 best=0.031502 es=1/5
[2026-05-20 12:32:42] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=17 architecture=[45] train_loss=0.046791 val_loss=0.031993 best=0.031502 es=2/5
[2026-05-20 12:32:45] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=18 architecture=[45] train_loss=0.046518 val_loss=0.031935 best=0.031502 es=3/5
[2026-05-20 12:32:48] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=19 architecture=[45] train_loss=0.046178 val_loss=0.031919 best=0.031502 es=4/5
[2026-05-20 12:32:51] [autoencoding][ae_width_to_depth][cand_044_d1_w45] epoch=20 architecture=[45] train_loss=0.045989 val_loss=0.031688 best=0.031502 es=5/5
