[2026-06-11 01:55:46] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-11 01:55:46] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_01/simulation/cand_647_d6_w116/training_log.txt
[2026-06-11 01:55:46] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_01/simulation/cand_647_d6_w116/training_stats.csv
[2026-06-11 01:55:47] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.006994 val_loss=0.004816 best=0.004816 es=0/10
[2026-06-11 01:55:47] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.004029 val_loss=0.007134 best=0.007134 es=0/10
[2026-06-11 01:55:47] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.005411 val_loss=0.003068 best=0.003068 es=0/10
[2026-06-11 01:55:47] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.003848 val_loss=0.001072 best=0.001072 es=0/10
[2026-06-11 01:55:48] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.004534 val_loss=0.001179 best=0.001179 es=0/10
[2026-06-11 01:55:48] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.002157 val_loss=0.001534 best=0.001534 es=0/10
[2026-06-11 01:55:48] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.002800 val_loss=0.001293 best=0.001293 es=0/10
[2026-06-11 01:55:48] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.003261 val_loss=0.001028 best=0.001028 es=0/10
[2026-06-11 01:55:49] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.001549 val_loss=0.000988 best=0.000988 es=0/10
[2026-06-11 01:55:49] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.002670 val_loss=0.001169 best=0.001169 es=0/10
[2026-06-11 01:55:49] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.002691 val_loss=0.000527 best=0.000527 es=0/10
[2026-06-11 01:55:49] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.002240 val_loss=0.000654 best=0.000654 es=0/10
[2026-06-11 01:55:50] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.001097 val_loss=0.000688 best=0.000688 es=0/10
[2026-06-11 01:55:50] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.001306 val_loss=0.000488 best=0.000488 es=0/10
[2026-06-11 01:55:50] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.003020 val_loss=0.000524 best=0.000524 es=0/10
[2026-06-11 01:55:50] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.003181 val_loss=0.000361 best=0.000361 es=0/10
[2026-06-11 01:55:50] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.001173 val_loss=0.000536 best=0.000536 es=0/10
[2026-06-11 01:55:51] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.001742 val_loss=0.000406 best=0.000406 es=0/10
[2026-06-11 01:55:51] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.002359 val_loss=0.000595 best=0.000595 es=0/10
[2026-06-11 01:55:51] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.005687 val_loss=0.000280 best=0.000280 es=0/10
[2026-06-11 01:55:51] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.002247 val_loss=0.000440 best=0.000440 es=0/10
[2026-06-11 01:55:52] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.000797 val_loss=0.000369 best=0.000369 es=0/10
[2026-06-11 01:55:52] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.001121 val_loss=0.000465 best=0.000465 es=0/10
[2026-06-11 01:55:52] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.001485 val_loss=0.000374 best=0.000374 es=0/10
[2026-06-11 01:55:52] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.000774 val_loss=0.000306 best=0.000306 es=0/10
[2026-06-11 01:55:52] Epoch 1 | architecture=[116, 116, 116, 116, 116, 68] train_loss=0.001340 val_loss=0.000338 best=0.000338 es=0/10
