[2026-05-16 12:24:33] Initialized ContinuousLogger for representation_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 12:24:33] Logs: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_082_d2_w84/training_log.txt
[2026-05-16 12:24:33] CSV: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_082_d2_w84/training_stats.csv
[2026-05-16 12:24:36] [representation][ae_width_to_depth][cand_082_d2_w84] epoch=1 train_loss=0.006687 val_loss=0.004524 best=0.004524 es=0/5
[2026-05-16 12:24:39] [representation][ae_width_to_depth][cand_082_d2_w84] epoch=2 train_loss=0.004270 val_loss=0.003441 best=0.003441 es=0/5
[2026-05-16 12:24:41] [representation][ae_width_to_depth][cand_082_d2_w84] epoch=3 train_loss=0.003913 val_loss=0.003361 best=0.003441 es=1/5
[2026-05-16 12:24:44] [representation][ae_width_to_depth][cand_082_d2_w84] epoch=4 train_loss=0.003948 val_loss=0.003273 best=0.003273 es=0/5
[2026-05-16 12:24:46] [representation][ae_width_to_depth][cand_082_d2_w84] epoch=5 train_loss=0.003965 val_loss=0.003043 best=0.003043 es=0/5
[2026-05-16 12:24:49] [representation][ae_width_to_depth][cand_082_d2_w84] epoch=6 train_loss=0.003817 val_loss=0.003120 best=0.003043 es=1/5
[2026-05-16 12:24:51] [representation][ae_width_to_depth][cand_082_d2_w84] epoch=7 train_loss=0.004067 val_loss=0.003514 best=0.003043 es=2/5
[2026-05-16 12:24:54] [representation][ae_width_to_depth][cand_082_d2_w84] epoch=8 train_loss=0.003845 val_loss=0.003066 best=0.003043 es=3/5
[2026-05-16 12:24:56] [representation][ae_width_to_depth][cand_082_d2_w84] epoch=9 train_loss=0.003623 val_loss=0.002895 best=0.002895 es=0/5
[2026-05-16 12:24:59] [representation][ae_width_to_depth][cand_082_d2_w84] epoch=10 train_loss=0.003973 val_loss=0.002990 best=0.002895 es=1/5
[2026-05-16 12:25:02] [representation][ae_width_to_depth][cand_082_d2_w84] epoch=11 train_loss=0.003843 val_loss=0.003106 best=0.002895 es=2/5
[2026-05-16 12:25:04] [representation][ae_width_to_depth][cand_082_d2_w84] epoch=12 train_loss=0.003949 val_loss=0.003032 best=0.002895 es=3/5
[2026-05-16 12:25:07] [representation][ae_width_to_depth][cand_082_d2_w84] epoch=13 train_loss=0.003362 val_loss=0.002730 best=0.002730 es=0/5
[2026-05-16 12:25:09] [representation][ae_width_to_depth][cand_082_d2_w84] epoch=14 train_loss=0.003485 val_loss=0.002791 best=0.002730 es=1/5
[2026-05-16 12:25:12] [representation][ae_width_to_depth][cand_082_d2_w84] epoch=15 train_loss=0.003576 val_loss=0.002912 best=0.002730 es=2/5
[2026-05-16 12:25:14] [representation][ae_width_to_depth][cand_082_d2_w84] epoch=16 train_loss=0.003453 val_loss=0.002929 best=0.002730 es=3/5
[2026-05-16 12:25:17] [representation][ae_width_to_depth][cand_082_d2_w84] epoch=17 train_loss=0.003474 val_loss=0.002853 best=0.002730 es=4/5
[2026-05-16 12:25:20] [representation][ae_width_to_depth][cand_082_d2_w84] epoch=18 train_loss=0.003519 val_loss=0.002856 best=0.002730 es=5/5
